fifa_player_id,fifa_team_id,avg_attacking_score,avg_defensive_score,avg_creativity_score,avg_defending_the_goal_score,n_matches_ranked,player_kind
390670,43899,6.178225994110107,6.126706600189209,4.734694004058838,,1,outfieldPlayer
391646,43819,4.4769651889801025,5.538048028945923,6.3517796993255615,,2,outfieldPlayer
393480,43971,5.905685663223267,5.1587653160095215,6.14252233505249,,2,outfieldPlayer
394456,43924,4.521509647369385,6.197413921356201,5.523514270782471,,1,outfieldPlayer
394500,43926,4.393080234527588,5.428252696990967,5.493288993835449,,1,outfieldPlayer
395050,43883,5.101191520690918,5.414977073669434,5.652985572814941,,2,outfieldPlayer
395083,43822,4.836108207702637,5.3588433265686035,6.535477876663208,,2,outfieldPlayer
395084,43822,6.652332782745361,6.3072669506073,5.802161931991577,,2,outfieldPlayer
395088,43822,4.046511173248291,7.79373574256897,4.886457204818726,,2,outfieldPlayer
395113,43843,4.028571605682373,5.737894058227539,4.882133483886719,,1,outfieldPlayer
395186,43818,6.981114864349365,3.5040457248687744,6.970028400421143,,1,outfieldPlayer
395205,43963,4.410415172576904,5.785755634307861,5.170948028564453,,1,outfieldPlayer
395206,43963,4.451749801635742,6.627652168273926,6.4800639152526855,,1,outfieldPlayer
395212,43963,4.870306491851807,5.548935890197754,6.343119144439697,,1,outfieldPlayer
395283,43970,4.195337295532227,5.673237562179565,5.808117389678955,,2,outfieldPlayer
395321,43819,5.955204248428345,5.915539741516113,7.906736135482788,,2,outfieldPlayer
395471,43948,5.674211025238037,4.917531490325928,6.8317766189575195,,1,outfieldPlayer
395516,43911,3.0148110389709473,5.447761535644531,4.131003379821777,,1,outfieldPlayer
395550,43926,4.454850196838379,6.8021440505981445,5.937886714935303,,1,outfieldPlayer
395581,43914,4.345656394958496,5.149525165557861,5.7137298583984375,,1,outfieldPlayer
395986,43883,,,,5.158171892166138,2,goalkeeper
396885,43835,,,,6.420923948287964,2,goalkeeper
397775,43908,4.283315658569336,5.324200868606567,5.001974582672119,,2,outfieldPlayer
397786,43960,5.996123790740967,6.1374592781066895,5.627845287322998,,2,outfieldPlayer
397894,43820,,,,4.703579425811768,1,goalkeeper
398509,43971,4.412558078765869,6.706380844116211,6.294355154037476,,2,outfieldPlayer
398569,1895293,3.1418585777282715,2.8946266174316406,4.164675235748291,,1,outfieldPlayer
398588,43961,5.107651710510254,5.392702579498291,5.178577899932861,,1,outfieldPlayer
398680,43946,4.507621765136719,4.955578327178955,5.291421413421631,,1,outfieldPlayer
400416,43914,4.832991123199463,5.704300880432129,5.6491570472717285,,1,outfieldPlayer
400511,43819,4.827818393707275,6.762819290161133,6.563554286956787,,1,outfieldPlayer
400514,43819,4.156177997589111,5.757423400878906,5.224151611328125,,1,outfieldPlayer
400634,43911,4.268395900726318,7.3224196434021,4.97617244720459,,1,outfieldPlayer
400716,43961,5.234050273895264,5.533827304840088,7.028552532196045,,1,outfieldPlayer
400721,43872,4.763626575469971,6.11635422706604,6.386294603347778,,2,outfieldPlayer
401023,1895293,4.734809875488281,7.364950180053711,6.783253192901611,,1,outfieldPlayer
401334,43967,6.666292667388916,4.892108201980591,6.352930068969727,,2,outfieldPlayer
401339,43967,4.154985189437866,4.892192602157593,6.714874505996704,,2,outfieldPlayer
401378,43948,4.128335475921631,5.717631101608276,5.800382614135742,,2,outfieldPlayer
401444,43935,4.845581293106079,5.59440279006958,6.113878965377808,,2,outfieldPlayer
401448,43971,4.630379676818848,7.948265552520752,6.10396146774292,,1,outfieldPlayer
401470,43942,7.512736797332764,4.816939353942871,6.527024269104004,,1,outfieldPlayer
401481,43995,4.758845090866089,4.843137264251709,5.614273548126221,,2,outfieldPlayer
401712,43967,4.620968341827393,6.09454870223999,5.911259174346924,,1,outfieldPlayer
